filename,gt_shape,gt_dtype,gt_min,gt_max,gt_mean,gt_std,gt_error,lr_shape,lr_dtype,lr_min,lr_max,lr_mean,lr_std,lr_error
000000.npy,"(256, 256)",float32,0.0,1.0,0.21819251008903506,0.239505555120515,,"(128, 128)",float32,-0.0026427102275192738,1.3257757425308228,0.2184414509457877,0.24486540947795757,
000001.npy,"(256, 256)",float32,0.0,1.0,0.326519459799123,0.15751012170489126,,"(128, 128)",float32,-0.0031231592874974012,1.4091064929962158,0.32675413070052883,0.17107371334126525,
000002.npy,"(256, 256)",float32,0.0,1.0,0.3053920098718752,0.1515746504653553,,"(128, 128)",float32,0.0002783304953482002,1.3459364175796509,0.3046870141934104,0.16135875338685915,
000003.npy,"(256, 256)",float32,0.0,1.0,0.29946306820091007,0.14394236689613565,,"(128, 128)",float32,-0.0010054984595626593,1.3146018981933594,0.2989099983245467,0.15143396910783535,
000004.npy,"(256, 256)",float32,0.0,1.0,0.35731800544483416,0.18404712249601504,,"(128, 128)",float32,-0.04995102062821388,1.3318248987197876,0.3562584763436366,0.19592375024350514,
000005.npy,"(256, 256)",float32,0.0,1.0,0.26813094999302756,0.057561014574179406,,"(128, 128)",float32,-0.006049090996384621,0.9321689605712891,0.26851267808604007,0.0699517048325248,
000006.npy,"(256, 256)",float32,0.0,1.0,0.2682986158407896,0.05740674037639925,,"(128, 128)",float32,-0.011915026232600212,0.843887448310852,0.2683484501886708,0.06822785082728029,
000007.npy,"(256, 256)",float32,0.0,1.0,0.26745997654194803,0.05786827992620241,,"(128, 128)",float32,-0.016929149627685547,1.1249449253082275,0.2683284582561356,0.07084177268164207,
000008.npy,"(256, 256)",float32,0.0,1.0,0.5247976717076454,0.22871150093623183,,"(128, 128)",float32,-0.04200931265950203,1.5704659223556519,0.5252892134310656,0.24984639756027402,
000009.npy,"(256, 256)",float32,0.0,1.0,0.5286860292162023,0.2190871521854872,,"(128, 128)",float32,-0.0018216996686533093,1.4595404863357544,0.5277301317651606,0.23728093098661804,
000010.npy,"(256, 256)",float32,0.0,1.0,0.49711459322460705,0.20523144092127604,,"(128, 128)",float32,-0.0033746028784662485,1.4051101207733154,0.4975693443952025,0.22802753945243331,
000011.npy,"(256, 256)",float32,0.0,1.0,0.5361910091188617,0.2197335940173199,,"(128, 128)",float32,0.00444362498819828,1.297839641571045,0.5365456276684313,0.23353733890543496,
000012.npy,"(256, 256)",float32,0.0,1.0,0.2526300106684829,0.1836050870682152,,"(128, 128)",float32,0.020599503070116043,1.4307210445404053,0.25274729202146773,0.1914825529077486,
000013.npy,"(256, 256)",float32,0.0,1.0,0.782701121730625,0.2486118982878368,,"(128, 128)",float32,0.019195398315787315,1.681573748588562,0.7818525901212752,0.2923183441593192,
000014.npy,"(256, 256)",float32,0.0,1.0,0.7956048400456268,0.23681672127886338,,"(128, 128)",float32,0.026551134884357452,1.6335859298706055,0.7956735660378627,0.2738292224080689,
000015.npy,"(256, 256)",float32,0.0,1.0,0.7602998161208205,0.26786419825611396,,"(128, 128)",float32,0.007161327172070742,1.585473656654358,0.7587977626920122,0.2962689741808016,
000016.npy,"(256, 256)",float32,0.0,1.0,0.7983135479543826,0.19142393108609873,,"(128, 128)",float32,-0.025143014267086983,1.6520973443984985,0.7982124837433915,0.2409902489365497,
000017.npy,"(256, 256)",float32,0.0,1.0,0.5930760876856667,0.1989427144156703,,"(128, 128)",float32,-0.011460768058896065,1.2589951753616333,0.5915948117020662,0.2164340249651905,
000018.npy,"(256, 256)",float32,0.0,1.0,0.5999201627643345,0.19467542619458525,,"(128, 128)",float32,-0.0030410438776016235,1.4285067319869995,0.5999810604181448,0.21924164869871454,
000019.npy,"(256, 256)",float32,0.0,1.0,0.5951474976456552,0.1982548127053979,,"(128, 128)",float32,0.009936096146702766,1.3405702114105225,0.594529252863083,0.2181531693132202,
000020.npy,"(256, 256)",float32,0.0,1.0,0.585743072258424,0.1966604341963877,,"(128, 128)",float32,0.035195186734199524,1.4826202392578125,0.5845331124899076,0.21533267551060783,
000021.npy,"(256, 256)",float32,0.0,1.0,0.3839006600628352,0.13945522143936123,,"(128, 128)",float32,0.01665452867746353,1.035732626914978,0.3831316107538214,0.15132925819734572,
000022.npy,"(256, 256)",float32,0.0,1.0,0.3717043904993673,0.13415004519136575,,"(128, 128)",float32,-0.007020998280495405,1.1447616815567017,0.3707578493171866,0.146764141227523,
000023.npy,"(256, 256)",float32,0.0,1.0,0.371560792515794,0.13353023963528063,,"(128, 128)",float32,-0.0021659955382347107,1.0727331638336182,0.37121502362892755,0.1446033688243938,
000024.npy,"(256, 256)",float32,0.0,1.0,0.3919004421611927,0.18970657899456442,,"(128, 128)",float32,-0.02357049472630024,1.4102561473846436,0.39148675204278405,0.20599028007567907,
000025.npy,"(256, 256)",float32,0.0,1.0,0.24215622511556845,0.15690040318717216,,"(128, 128)",float32,-0.019422335550189018,1.283496379852295,0.24182072511980124,0.16111717359789646,
000026.npy,"(256, 256)",float32,0.0,1.0,0.24135350047496296,0.15476640662455007,,"(128, 128)",float32,0.001270187203772366,1.2459715604782104,0.24168967635644378,0.15974635336750126,
000027.npy,"(256, 256)",float32,0.0,1.0,0.24094393688534765,0.15449378875747913,,"(128, 128)",float32,-0.012583830393850803,1.372061014175415,0.24043122089183488,0.1605800378751532,
000028.npy,"(256, 256)",float32,0.0,1.0,0.6826687148983757,0.2087239242585733,,"(128, 128)",float32,-0.008710519410669804,1.4268943071365356,0.6832525491107404,0.23252752159897497,
000029.npy,"(256, 256)",float32,0.0,1.0,0.5083960139193895,0.18749727593088508,,"(128, 128)",float32,-0.00025012862170115113,1.4704421758651733,0.5092830166077498,0.21260802241762514,
000030.npy,"(256, 256)",float32,0.0,1.0,0.4912278000770538,0.18888460120756803,,"(128, 128)",float32,-0.001560224569402635,1.2466708421707153,0.49226085771855566,0.20542672358994934,
000031.npy,"(256, 256)",float32,0.0,1.0,0.5082655139776153,0.18755531220861935,,"(128, 128)",float32,0.0007876661256887019,1.3946404457092285,0.5100878138347902,0.21093130920266787,
000032.npy,"(256, 256)",float32,0.0,1.0,0.6567187461605464,0.29243837750220397,,"(128, 128)",float32,-0.014598268084228039,1.481552004814148,0.6563559116214881,0.30892769608879944,
000033.npy,"(256, 256)",float32,0.0,1.0,0.5857221426846599,0.3082139250369532,,"(128, 128)",float32,-0.04034125804901123,1.4630719423294067,0.5863875218997121,0.3242691341248745,
000034.npy,"(256, 256)",float32,0.0,1.0,0.6352777092548136,0.30034837696053307,,"(128, 128)",float32,-0.03652001544833183,1.4717029333114624,0.6349738214573037,0.3172199924633133,
000035.npy,"(256, 256)",float32,0.0,1.0,0.5904329680277224,0.3065716550646835,,"(128, 128)",float32,-0.04923319071531296,1.562296986579895,0.5912040840634276,0.32883041370204497,
000036.npy,"(256, 256)",float32,0.0,1.0,0.399697137000814,0.09860200540963762,,"(128, 128)",float32,-0.049201544374227524,1.2120472192764282,0.39929296973400596,0.12042419963715077,
000037.npy,"(256, 256)",float32,0.0,1.0,0.6059940375942148,0.18124759656145686,,"(128, 128)",float32,-8.245275967055932e-05,1.3645213842391968,0.6065207911608481,0.2062632893824548,
000038.npy,"(256, 256)",float32,0.0,1.0,0.5905703462599483,0.1701655934792253,,"(128, 128)",float32,-0.0022407996002584696,1.3562557697296143,0.5901761516445987,0.2025946590925595,
000039.npy,"(256, 256)",float32,0.0,1.0,0.5931395048883878,0.17871145889934703,,"(128, 128)",float32,0.008497464470565319,1.4226106405258179,0.5936302031642526,0.19812899145438334,
000040.npy,"(256, 256)",float32,0.0,1.0,0.460505396179137,0.1739711760271153,,"(128, 128)",float32,-0.0007300623110495508,1.3473987579345703,0.4606325118046115,0.19738490897926161,
000041.npy,"(256, 256)",float32,0.0,1.0,0.3893156045218349,0.24827079425461104,,"(128, 128)",float32,-0.02139429561793804,1.2666605710983276,0.38911765315035096,0.2574262572534809,
000042.npy,"(256, 256)",float32,0.0,1.0,0.36926587554894197,0.2541308212658447,,"(128, 128)",float32,-0.07983317226171494,1.5630152225494385,0.3692915330859417,0.2675538624455007,
000043.npy,"(256, 256)",float32,0.0,1.0,0.3775860061927882,0.25778252827989834,,"(128, 128)",float32,-0.025685472413897514,1.2977972030639648,0.3781098013909826,0.2663044117977304,
000044.npy,"(256, 256)",float32,0.0,1.0,0.34840114263068467,0.3032957352359381,,"(128, 128)",float32,-0.0475342757999897,1.714219093322754,0.34806914545188405,0.311039888398102,
000045.npy,"(256, 256)",float32,0.0,1.0,0.5309340477488718,0.18813757309812415,,"(128, 128)",float32,0.01721383072435856,1.3083710670471191,0.531716305319037,0.20778352245685236,
000046.npy,"(256, 256)",float32,0.0,1.0,0.5324129065133576,0.1962426332783347,,"(128, 128)",float32,0.018868647515773773,1.3554123640060425,0.5321726679264884,0.21476392261552726,
000047.npy,"(256, 256)",float32,0.0,1.0,0.5311066808729379,0.1909523448414058,,"(128, 128)",float32,-9.476298873778433e-05,1.475258231163025,0.5297698561396382,0.20957095869597528,
